date,SP500_Daily_P/E
2019-08-07,21.50692398999936
2019-08-08,21.928888880598734
2019-08-09,21.779513045460035
2019-08-12,21.51438942119207
2019-08-13,21.84896719541262
2019-08-14,21.20294726467911
2019-08-15,21.25896413634618
2019-08-16,21.572644179702177
2019-08-19,21.832540259620455
2019-08-20,21.665251372510184
2019-08-21,21.841511721447247
2019-08-22,21.834783125077156
2019-08-23,21.27390495595894
2019-08-26,21.50915938753556
2019-08-27,21.424764417970216
2019-08-28,21.575633837208834
2019-08-29,21.85121006086932
2019-08-30,21.841511721447247
2019-09-03,22.3983
2019-09-04,22.652530695844202
2019-09-05,22.943732278472957
2019-09-06,22.96144738806642
2019-09-09,22.973004962827996
2019-09-10,22.96761262623628
2019-09-11,23.130936230482106
2019-09-12,23.211058648897048
2019-09-13,23.19564683736205
2019-09-16,23.124005794072083
2019-09-17,23.18255116278217
2019-09-18,23.196419738940193
2019-09-19,23.194873935783903
2019-09-20,23.085288817343546
2019-09-23,23.07987337073787
2019-09-24,22.898762759077353
2019-09-25,23.03421311870266
2019-09-26,22.98622132303637
2019-09-27,22.86238759709723
2019-09-30,22.96841634116638
2019-10-01,21.7699
2019-10-02,21.385340661321013
2019-10-03,21.56055236803104
2019-10-04,21.852309970944038
2019-10-07,21.758025456694327
2019-10-08,21.420232754344898
2019-10-09,21.62364927237898
2019-10-10,21.7699
2019-10-11,21.995590215423242
2019-10-14,21.971094813395684
2019-10-15,22.188612505548196
2019-10-16,22.152976560195267
2019-10-17,22.2183099477047
2019-10-18,22.121050024138814
2019-10-21,22.271015087230683
2019-10-22,22.19826288112829
2019-10-23,22.262857342483038
2019-10-24,22.299234677077827
2019-10-25,22.39054378201137
2019-10-28,22.516752369230346
2019-10-29,22.51006508753051
2019-10-30,22.579110347423605
2019-10-31,22.51897653695593
2019-11-01,22.5111
2019-11-04,22.601541795472272
2019-11-05,22.57654051364232
2019-11-06,22.581695442263197
2019-11-07,22.661102811728746
2019-11-08,22.71698975202543
2019-11-11,22.673601013018253
